TAZ,TAZ1454
1021,637.0
987,627.0
988,627.0
989,627.0
990,627.0
984,628.0
985,628.0
999,628.0
838,605.0
803,605.0
804,605.0
952,605.0
995,605.0
996,605.0
997,605.0
998,605.0
841,601.0
1006,601.0
1007,601.0
1008,601.0
986,626.0
983,623.0
956,599.0
870,599.0
1002,599.0
840,600.0
1000,600.0
1001,600.0
543,598.0
1005,598.0
1003,598.0
1004,598.0
955,624.0
991,625.0
992,625.0
993,625.0
994,625.0
981,621.0
982,621.0
954,622.0
269,616.0
270,616.0
304,610.0
265,610.0
266,610.0
267,609.0
306,609.0
268,609.0
274,619.0
272,619.0
308,620.0
257,620.0
275,618.0
309,618.0
307,617.0
271,617.0
311,615.0
276,615.0
277,615.0
310,615.0
263,615.0
295,614.0
296,614.0
297,614.0
318,614.0
293,613.0
292,613.0
294,613.0
322,606.0
253,606.0
254,606.0
287,606.0
317,606.0
300,612.0
302,612.0
262,612.0
299,612.0
298,612.0
303,612.0
264,611.0
305,611.0
301,611.0
320,611.0
321,611.0
45,401.0
438,401.0
368,401.0
369,401.0
370,401.0
381,401.0
523,401.0
525,401.0
43,402.0
42,402.0
1461,402.0
44,402.0
1355,402.0
1354,402.0
1385,422.0
1384,422.0
1470,422.0
1383,422.0
1370,422.0
1381,421.0
1398,421.0
1380,421.0
1399,421.0
1382,420.0
1317,413.0
1316,413.0
1312,413.0
1311,414.0
1233,414.0
1308,414.0
1309,414.0
1310,414.0
1220,543.0
1221,543.0
754,543.0
1210,543.0
866,543.0
1269,443.0
1268,443.0
1273,438.0
1274,438.0
1279,438.0
1280,438.0
1223,437.0
1276,437.0
1277,437.0
1278,437.0
1282,437.0
1271,442.0
1272,442.0
1267,444.0
1270,444.0
1265,441.0
1216,441.0
1264,441.0
1235,439.0
1266,439.0
1263,440.0
1262,440.0
1256,436.0
1257,436.0
1258,436.0
1259,436.0
1260,436.0
1261,436.0
1228,545.0
1212,545.0
1275,545.0
1288,545.0
1289,545.0
1290,545.0
1291,545.0
876,544.0
1222,544.0
1287,544.0
1292,544.0
1293,544.0
1294,544.0
1295,544.0
781,466.0
782,466.0
779,466.0
780,466.0
783,466.0
1253,465.0
1252,465.0
1254,465.0
1255,465.0
1248,465.0
1249,465.0
1241,465.0
1213,464.0
1240,464.0
1225,464.0
1250,464.0
1251,464.0
1238,461.0
1237,461.0
1218,461.0
1217,461.0
1244,461.0
1239,463.0
1224,463.0
1247,463.0
1236,462.0
1246,462.0
1245,462.0
750,476.0
753,476.0
752,476.0
751,476.0
850,478.0
746,478.0
745,478.0
749,477.0
892,477.0
744,471.0
743,471.0
894,470.0
897,470.0
893,472.0
898,473.0
790,467.0
895,467.0
9,468.0
896,468.0
900,469.0
4,504.0
25,504.0
2,504.0
21,504.0
22,504.0
32,504.0
34,504.0
1490,504.0
19,504.0
23,504.0
26,504.0
17,503.0
3,503.0
27,503.0
28,503.0
748,475.0
553,475.0
747,475.0
29,501.0
31,501.0
603,499.0
601,499.0
602,499.0
899,474.0
5,502.0
12,500.0
13,500.0
20,500.0
1,505.0
6,505.0
14,505.0
245,506.0
7,506.0
16,506.0
874,518.0
243,518.0
250,518.0
251,518.0
871,517.0
912,517.0
629,515.0
848,515.0
913,515.0
959,515.0
873,516.0
869,516.0
875,514.0
241,514.0
240,514.0
872,514.0
242,514.0
226,514.0
812,514.0
227,511.0
224,511.0
244,511.0
237,511.0
236,511.0
235,511.0
228,511.0
247,511.0
238,513.0
239,513.0
248,513.0
223,509.0
225,509.0
234,509.0
246,509.0
233,508.0
232,508.0
231,508.0
249,508.0
229,507.0
230,507.0
18,507.0
323,510.0
324,510.0
1332,497.0
1333,497.0
1347,497.0
1350,497.0
1331,496.0
1351,496.0
1352,496.0
1344,493.0
1342,493.0
1341,493.0
1340,493.0
1343,493.0
1345,493.0
1336,498.0
1337,498.0
1335,498.0
1339,498.0
1338,498.0
1346,494.0
1348,494.0
1349,494.0
1334,495.0
81,495.0
1330,495.0
1353,495.0
113,490.0
114,490.0
115,490.0
116,490.0
117,490.0
105,489.0
127,489.0
128,489.0
129,489.0
130,489.0
131,489.0
132,488.0
133,488.0
134,488.0
135,488.0
136,488.0
204,487.0
100,487.0
102,487.0
101,487.0
99,487.0
98,487.0
118,486.0
119,486.0
120,491.0
121,491.0
122,491.0
123,492.0
124,492.0
125,492.0
126,492.0
607,481.0
606,481.0
605,480.0
604,480.0
1488,483.0
611,483.0
610,483.0
609,482.0
608,482.0
90,484.0
109,484.0
110,484.0
111,484.0
112,484.0
89,479.0
106,479.0
107,479.0
108,479.0
91,485.0
93,485.0
92,485.0
94,485.0
86,485.0
88,460.0
87,460.0
97,460.0
96,460.0
95,460.0
1375,459.0
1450,459.0
1376,459.0
1486,459.0
1436,457.0
1435,457.0
1374,458.0
1449,458.0
1428,454.0
1430,454.0
1429,454.0
1432,455.0
1431,455.0
1434,456.0
1433,456.0
1482,453.0
1426,453.0
1462,453.0
1427,453.0
1437,452.0
1438,452.0
1445,451.0
1444,451.0
1443,451.0
1442,451.0
1441,449.0
1439,449.0
1440,449.0
1366,448.0
1367,448.0
1455,448.0
1456,448.0
1457,447.0
1458,447.0
1459,445.0
1460,445.0
1364,394.0
1447,394.0
1478,394.0
1423,394.0
1365,394.0
1448,394.0
1479,394.0
1424,394.0
1422,450.0
1483,450.0
1480,450.0
1420,450.0
1373,450.0
1484,450.0
1421,450.0
1453,446.0
1452,446.0
1451,446.0
1454,446.0
1412,425.0
1372,425.0
1401,423.0
1400,423.0
1413,424.0
1485,424.0
1371,424.0
375,391.0
395,391.0
396,391.0
1361,393.0
1446,393.0
1481,393.0
1425,393.0
1369,392.0
404,377.0
407,377.0
392,377.0
360,377.0
416,377.0
408,376.0
401,376.0
409,373.0
410,375.0
456,374.0
385,374.0
386,374.0
387,374.0
477,374.0
363,365.0
364,365.0
384,380.0
411,380.0
362,372.0
400,372.0
383,379.0
412,379.0
382,379.0
380,378.0
379,378.0
371,378.0
378,378.0
413,378.0
418,378.0
419,378.0
372,390.0
373,390.0
367,390.0
414,390.0
1471,390.0
390,381.0
397,381.0
398,381.0
389,381.0
365,382.0
366,382.0
399,383.0
393,383.0
394,389.0
388,389.0
391,389.0
212,388.0
213,388.0
218,388.0
209,387.0
210,387.0
211,387.0
207,386.0
206,386.0
205,386.0
203,384.0
214,384.0
216,384.0
195,370.0
202,370.0
194,370.0
196,370.0
215,370.0
200,371.0
199,371.0
201,371.0
198,369.0
217,369.0
197,369.0
537,367.0
457,367.0
493,367.0
513,367.0
515,367.0
516,366.0
517,366.0
518,366.0
492,366.0
473,362.0
482,362.0
486,362.0
487,362.0
524,362.0
483,364.0
529,364.0
439,363.0
472,363.0
484,363.0
485,363.0
469,360.0
470,360.0
471,360.0
490,360.0
491,360.0
503,360.0
474,361.0
475,361.0
488,361.0
489,361.0
501,358.0
502,358.0
526,358.0
527,358.0
499,357.0
500,357.0
497,357.0
498,357.0
431,356.0
430,356.0
432,356.0
433,356.0
426,356.0
434,356.0
427,356.0
466,356.0
435,356.0
437,356.0
436,356.0
460,356.0
495,356.0
496,356.0
532,356.0
533,356.0
534,356.0
535,356.0
467,359.0
468,359.0
504,359.0
505,359.0
459,355.0
462,355.0
464,355.0
447,355.0
446,355.0
445,355.0
444,355.0
463,355.0
443,355.0
424,355.0
